srcid,Mode,Q1,Q2,Q4,Q5a,Q5f,Q6c,Q7a,Q7c,Q8a,Q8d,Q10a,Q10d,Q11,Q11a,Q12,Q14,Q15,Q16,Q18,sDevType,p_gender_sdc,p_age_group_sdc,p_education_sdc,total_time_taken,neutral_count,disagree_count,agree_count,very_count,just_count,vmj_count,opinionated,undecided_voter
145,"""2""","""2""","""20""","""4""","""1""","""2""","""2""","""1""","""2""",4,1,"""2""","""4""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""3""","""3""","""1""","""2""",3,"""1""",12.51666666666666,2,46,6,17,37,-20,False,False
480,"""2""","""2""","""1""","""100""","""2""","""2""","""3""","""1""","""2""",5,5,"""2""","""2""","""3""","""1""","""2""","""2""","""3""","""NaN""","""NaN""","""1""","""1""",2,"""3""",10.53333333333334,5,32,0,5,31,-26,False,False
1712,"""2""","""2""","""29""","""2""","""2""","""1""","""3""","""2""","""2""",5,4,"""4""","""4""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""2""","""2""","""0""","""1""",1,"""3""",7.066666666666663,21,22,11,4,50,-46,False,False
1623,"""2""","""2""","""35""","""1""","""3""","""1""","""2""","""2""","""2""",7,3,"""4""","""2""","""2""","""1""","""2""","""3""","""2""","""NaN""","""NaN""","""1""","""1""",3,"""2""",25.316666666666677,3,23,11,9,27,-18,False,False
1759,"""2""","""2""","""16""","""100""","""3""","""1""","""2""","""2""","""2""",5,1,"""2""","""2""","""1""","""2""","""3""","""1""","""3""","""NaN""","""NaN""","""1""","""1""",2,"""1""",36.36666666666663,2,28,7,7,29,-22,False,False
932,"""2""","""2""","""1""","""1""","""1""","""1""","""3""","""3""","""3""",7,5,"""4""","""2""","""3""","""2""","""1""","""4""","""3""","""NaN""","""NaN""","""0""","""2""",2,"""2""",7.75,5,19,13,9,27,-18,False,False
2200,"""2""","""2""","""20""","""4""","""2""","""1""","""3""","""1""","""2""",5,1,"""2""","""2""","""1""","""2""","""2""","""3""","""3""","""NaN""","""NaN""","""0""","""2""",2,"""1""",11.099999999999996,4,26,7,14,22,-8,False,False
1904,"""2""","""2""","""-98""","""1""","""2""","""1""","""3""","""2""","""3""",5,3,"""2""","""4""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""2""","""2""","""2""","""1""",4,"""1""",13.000000000000007,24,22,8,1,53,-52,False,False
539,"""2""","""2""","""5""","""3""","""2""","""2""","""3""","""2""","""3""",8,5,"""5""","""4""","""2""","""2""","""1""","""3""","""2""","""NaN""","""NaN""","""1""","""2""",2,"""1""",5.683333333333332,5,19,13,10,26,-16,False,False
1718,"""2""","""2""","""34""","""3""","""2""","""2""","""4""","""2""","""2""",6,2,"""4""","""2""","""3""","""2""","""2""","""4""","""3""","""NaN""","""NaN""","""0""","""2""",4,"""NaN""",12.783333333333335,6,23,8,8,28,-20,False,False
593,"""2""","""2""","""20""","""1""","""1""","""1""","""4""","""3""","""4""",9,1,"""4""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""1""","""3""","""2""","""1""",2,"""1""",5.8500000000000005,0,28,26,8,46,-38,False,False
367,"""2""","""2""","""20""","""3""","""2""","""4""","""1""","""1""","""1""",5,1,"""2""","""1""","""1""","""2""","""2""","""4""","""2""","""NaN""","""NaN""","""1""","""2""",2,"""1""",20.29999999999997,1,24,12,20,16,4,True,False
1075,"""2""","""4""","""11""","""4""","""2""","""2""","""2""","""2""","""3""",6,3,"""4""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""4""","""1""","""0""","""1""",3,"""2""",26.483333333333345,8,29,17,11,43,-32,False,False
2237,"""2""","""2""","""1""","""1""","""1""","""1""","""3""","""3""","""4""",6,3,"""4""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""3""","""3""","""1""","""2""",2,"""3""",12.850000000000021,6,37,9,12,40,-28,False,False
